Line_ID,Invoice_ID,Sale_Date,Sale_Time,Year,Month_Number,Month_Name,Day_of_Week,Is_Weekend,Store_ID,Store_Name,City,Sales_Channel,Customer_Type,Customer_ID,Cashier_ID,SKU,Category,Subcategory,Brand,Product_Name,Pack_Size,Quantity,Unit_Price_LKR,Gross_Sales_LKR,Discount_Pct,Discount_Amount_LKR,Net_Sales_LKR,Unit_Cost_LKR,Cost_of_Goods_LKR,Gross_Profit_LKR,Payment_Method,Promotion
LIN-0000011,INV-2025-000005,1/1/2025,18:58:00,2025,1,January,Wednesday,No,STR-001,LankaMart - Colombo Suburban Store,Maharagama,In-store,Walk-in,GUEST,CSH-04,BEV002,Beverages,Tea,Watawala,Tea,200 g,1,595,595,0,0,595,472.97,472.97,122.03,Cash,None
LIN-0000012,INV-2025-000005,1/1/2025,18:58:00,2025,1,January,Wednesday,No,STR-001,LankaMart - Colombo Suburban Store,Maharagama,In-store,Walk-in,GUEST,CSH-04,BEV006,Beverages,Soft Drinks,Elephant House,Cream Soda,1.5 L,1,395,395,0,0,395,292.96,292.96,102.04,Cash,None
LIN-0000013,INV-2025-000006,1/1/2025,21:18:00,2025,1,January,Wednesday,No,STR-001,LankaMart - Colombo Suburban Store,Maharagama,In-store,Loyalty Member,CUS-2217,CSH-05,SNK001,Snacks & Confectionery,Biscuits,Munchee,Tikiri Marie,360 g,1,430,430,0,0,430,310.36,310.36,119.64,Cash,None
LIN-0000014,INV-2025-000006,1/1/2025,21:18:00,2025,1,January,Wednesday,No,STR-001,LankaMart - Colombo Suburban Store,Maharagama,In-store,Loyalty Member,CUS-2217,CSH-05,RIC005,Rice & Grains,Rice,Nipuna,Nadu Rice,1 kg,1,295,295,0,0,295,256.13,256.13,38.87,Cash,None
LIN-0000015,INV-2025-000006,1/1/2025,21:18:00,2025,1,January,Wednesday,No,STR-001,LankaMart - Colombo Suburban Store,Maharagama,In-store,Loyalty Member,CUS-2217,CSH-05,HOU005,Household,Cleaning,Harpic,Toilet Cleaner,500 ml,1,640,640,0,0,640,484.48,484.48,155.52,Cash,None
LIN-0000016,INV-2025-000006,1/1/2025,21:18:00,2025,1,January,Wednesday,No,STR-001,LankaMart - Colombo Suburban Store,Maharagama,In-store,Loyalty Member,CUS-2217,CSH-05,PRO002,Fresh Produce,Vegetables,Local Produce,Potatoes,1 kg,2,370,740,0,0,740,300.84,601.68,138.32,Cash,None
LIN-0000017,INV-2025-000007,1/1/2025,12:45:00,2025,1,January,Wednesday,No,STR-001,LankaMart - Colombo Suburban Store,Maharagama,In-store,Walk-in,GUEST,CSH-01,SNK004,Snacks & Confectionery,Biscuits,Maliban,Lemon Puff,200 g,1,285,285,0,0,285,206.49,206.49,78.51,Cash,None
LIN-0000018,INV-2025-000007,1/1/2025,12:45:00,2025,1,January,Wednesday,No,STR-001,LankaMart - Colombo Suburban Store,Maharagama,In-store,Walk-in,GUEST,CSH-01,SNK007,Snacks & Confectionery,Chips,Rancrisp,Cassava Chips,100 g,1,265,265,0,0,265,174.04,174.04,90.96,Cash,None
LIN-0000019,INV-2025-000008,1/1/2025,17:17:00,2025,1,January,Wednesday,No,STR-001,LankaMart - Colombo Suburban Store,Maharagama,In-store,Walk-in,GUEST,CSH-05,DAI003,Dairy & Eggs,Fresh Milk,Highland,Fresh Milk,1 L,1,555,555,0,0,555,448.99,448.99,106.01,Debit/Credit Card,None
LIN-0000020,INV-2025-000008,1/1/2025,17:17:00,2025,1,January,Wednesday,No,STR-001,LankaMart - Colombo Suburban Store,Maharagama,In-store,Walk-in,GUEST,CSH-05,PRO007,Fresh Produce,Coconut,Local Produce,Fresh Coconut,1 each,1,155,155,0,0,155,122.49,122.49,32.51,Debit/Credit Card,None
LIN-0000021,INV-2025-000009,1/1/2025,16:04:00,2025,1,January,Wednesday,No,STR-001,LankaMart - Colombo Suburban Store,Maharagama,In-store,Loyalty Member,CUS-1273,CSH-05,RIC004,Rice & Grains,Rice,Rathna,Red Raw Rice,1 kg,1,330,330,0,0,330,281.29,281.29,48.71,Debit/Credit Card,None
LIN-0000022,INV-2025-000009,1/1/2025,16:04:00,2025,1,January,Wednesday,No,STR-001,LankaMart - Colombo Suburban Store,Maharagama,In-store,Loyalty Member,CUS-1273,CSH-05,DAI002,Dairy & Eggs,Milk Powder,Maliban,Full Cream Milk Powder,400 g,1,1125,1125,0,0,1125,982.37,982.37,142.63,Debit/Credit Card,None
LIN-0000023,INV-2025-000009,1/1/2025,16:04:00,2025,1,January,Wednesday,No,STR-001,LankaMart - Colombo Suburban Store,Maharagama,In-store,Loyalty Member,CUS-1273,CSH-05,BAK001,Bakery,Bread,Prima,Sandwich Bread,450 g,1,210,210,0,0,210,143.22,143.22,66.78,Debit/Credit Card,None
LIN-0000024,INV-2025-000010,1/1/2025,15:47:00,2025,1,January,Wednesday,No,STR-001,LankaMart - Colombo Suburban Store,Maharagama,Local Delivery,Walk-in,GUEST,ONLINE,DAI005,Dairy & Eggs,Yoghurt,Highland,Set Yoghurt,80 g,2,90,180,0,0,180,60.33,120.66,59.34,Debit/Credit Card,None
LIN-0000025,INV-2025-000010,1/1/2025,15:47:00,2025,1,January,Wednesday,No,STR-001,LankaMart - Colombo Suburban Store,Maharagama,Local Delivery,Walk-in,GUEST,ONLINE,GRO009,Grocery Staples,Noodles,Prima KottuMee,Hot & Spicy Noodles,80 g,1,130,130,0,0,130,94.87,94.87,35.13,Debit/Credit Card,None
LIN-0000026,INV-2025-000011,1/1/2025,21:24:00,2025,1,January,Wednesday,No,STR-001,LankaMart - Colombo Suburban Store,Maharagama,In-store,Loyalty Member,CUS-1944,CSH-04,PRO002,Fresh Produce,Vegetables,Local Produce,Potatoes,1 kg,1,375,375,0,0,375,301.66,301.66,73.34,Debit/Credit Card,None
LIN-0000027,INV-2025-000011,1/1/2025,21:24:00,2025,1,January,Wednesday,No,STR-001,LankaMart - Colombo Suburban Store,Maharagama,In-store,Loyalty Member,CUS-1944,CSH-04,HOU008,Household,Bags,Generic,Garbage Bags - Medium,20 pack,1,345,345,0,0,345,224.66,224.66,120.34,Debit/Credit Card,None
LIN-0000028,INV-2025-000012,1/1/2025,17:10:00,2025,1,January,Wednesday,No,STR-001,LankaMart - Colombo Suburban Store,Maharagama,In-store,Walk-in,GUEST,CSH-02,HOU007,Household,Paper Goods,Softlogic,Kitchen Towels,2 rolls,1,515,515,0,0,515,366.85,366.85,148.15,Cash,None
LIN-0000029,INV-2025-000013,1/1/2025,13:49:00,2025,1,January,Wednesday,No,STR-001,LankaMart - Colombo Suburban Store,Maharagama,In-store,Loyalty Member,CUS-2179,CSH-03,HOU001,Household,Laundry,Sunlight,Laundry Soap,120 g,1,155,155,0,0,155,107.89,107.89,47.11,LankaQR,None
LIN-0000030,INV-2025-000014,1/1/2025,16:08:00,2025,1,January,Wednesday,No,STR-001,LankaMart - Colombo Suburban Store,Maharagama,In-store,Walk-in,GUEST,CSH-02,RIC005,Rice & Grains,Rice,Nipuna,Nadu Rice,1 kg,1,290,290,0,0,290,249.39,249.39,40.61,LankaQR,None
LIN-0000031,INV-2025-000014,1/1/2025,16:08:00,2025,1,January,Wednesday,No,STR-001,LankaMart - Colombo Suburban Store,Maharagama,In-store,Walk-in,GUEST,CSH-02,RIC004,Rice & Grains,Rice,Rathna,Red Raw Rice,1 kg,1,335,335,0,0,335,291.46,291.46,43.54,LankaQR,None
LIN-0000032,INV-2025-000014,1/1/2025,16:08:00,2025,1,January,Wednesday,No,STR-001,LankaMart - Colombo Suburban Store,Maharagama,In-store,Walk-in,GUEST,CSH-02,PRO005,Fresh Produce,Fruit,Local Produce,Bananas - Ambul,1 kg,1,375,375,0,0,375,283.59,283.59,91.41,LankaQR,None
LIN-0000033,INV-2025-000015,1/1/2025,16:50:00,2025,1,January,Wednesday,No,STR-001,LankaMart - Colombo Suburban Store,Maharagama,In-store,Loyalty Member,CUS-1568,CSH-01,PRO005,Fresh Produce,Fruit,Local Produce,Bananas - Ambul,1 kg,1,370,370,0,0,370,275.53,275.53,94.47,Gift Voucher,None
LIN-0000034,INV-2025-000015,1/1/2025,16:50:00,2025,1,January,Wednesday,No,STR-001,LankaMart - Colombo Suburban Store,Maharagama,In-store,Loyalty Member,CUS-1568,CSH-01,PRO001,Fresh Produce,Vegetables,Local Produce,Big Onions,1 kg,1,440,440,0,0,440,363.32,363.32,76.68,Gift Voucher,None
LIN-0000035,INV-2025-000015,1/1/2025,16:50:00,2025,1,January,Wednesday,No,STR-001,LankaMart - Colombo Suburban Store,Maharagama,In-store,Loyalty Member,CUS-1568,CSH-01,BEV006,Beverages,Soft Drinks,Elephant House,Cream Soda,1.5 L,4,400,1600,0,0,1600,293.74,1174.96,425.04,Gift Voucher,None
LIN-0000036,INV-2025-000015,1/1/2025,16:50:00,2025,1,January,Wednesday,No,STR-001,LankaMart - Colombo Suburban Store,Maharagama,In-store,Loyalty Member,CUS-1568,CSH-01,GRO008,Grocery Staples,Oil,Marina,Coconut Oil,1 L,2,1110,2220,0,0,2220,950.87,1901.74,318.26,Gift Voucher,None
LIN-0000037,INV-2025-000016,1/1/2025,10:51:00,2025,1,January,Wednesday,No,STR-001,LankaMart - Colombo Suburban Store,Maharagama,In-store,Loyalty Member,CUS-1608,CSH-04,BAK001,Bakery,Bread,Prima,Sandwich Bread,450 g,2,210,420,0,0,420,144.62,289.24,130.76,Cash,None
LIN-0000038,INV-2025-000016,1/1/2025,10:51:00,2025,1,January,Wednesday,No,STR-001,LankaMart - Colombo Suburban Store,Maharagama,In-store,Loyalty Member,CUS-1608,CSH-04,BEV007,Beverages,Soft Drinks,Elephant House,Ginger Beer,1.5 L,1,410,410,0.05,20.5,389.5,303.62,303.62,85.88,Cash,Loyalty Discount
LIN-0000039,INV-2025-000016,1/1/2025,10:51:00,2025,1,January,Wednesday,No,STR-001,LankaMart - Colombo Suburban Store,Maharagama,In-store,Loyalty Member,CUS-1608,CSH-04,DAI005,Dairy & Eggs,Yoghurt,Highland,Set Yoghurt,80 g,1,90,90,0,0,90,61.7,61.7,28.3,Cash,None
LIN-0000040,INV-2025-000016,1/1/2025,10:51:00,2025,1,January,Wednesday,No,STR-001,LankaMart - Colombo Suburban Store,Maharagama,In-store,Loyalty Member,CUS-1608,CSH-04,RIC001,Rice & Grains,Rice,Araliya,Nadu Rice,5 kg,1,1410,1410,0,0,1410,1234.9,1234.9,175.1,Cash,None
LIN-0000041,INV-2025-000017,1/1/2025,20:49:00,2025,1,January,Wednesday,No,STR-001,LankaMart - Colombo Suburban Store,Maharagama,In-store,Walk-in,GUEST,CSH-02,GRO009,Grocery Staples,Noodles,Prima KottuMee,Hot & Spicy Noodles,80 g,1,130,130,0,0,130,93.93,93.93,36.07,Debit/Credit Card,None
LIN-0000042,INV-2025-000017,1/1/2025,20:49:00,2025,1,January,Wednesday,No,STR-001,LankaMart - Colombo Suburban Store,Maharagama,In-store,Walk-in,GUEST,CSH-02,SNK008,Snacks & Confectionery,Nuts,Nut House,Roasted Peanuts,200 g,1,420,420,0,0,420,298.89,298.89,121.11,Debit/Credit Card,None
LIN-0000043,INV-2025-000017,1/1/2025,20:49:00,2025,1,January,Wednesday,No,STR-001,LankaMart - Colombo Suburban Store,Maharagama,In-store,Walk-in,GUEST,CSH-02,PER004,Personal Care,Toothpaste,Signal,Strong Teeth Toothpaste,120 g,1,390,390,0,0,390,281.35,281.35,108.65,Debit/Credit Card,None
LIN-0000044,INV-2025-000018,1/1/2025,13:52:00,2025,1,January,Wednesday,No,STR-001,LankaMart - Colombo Suburban Store,Maharagama,In-store,Walk-in,GUEST,CSH-01,PRO002,Fresh Produce,Vegetables,Local Produce,Potatoes,1 kg,1,370,370,0,0,370,302.06,302.06,67.94,Cash,None
LIN-0000045,INV-2025-000018,1/1/2025,13:52:00,2025,1,January,Wednesday,No,STR-001,LankaMart - Colombo Suburban Store,Maharagama,In-store,Walk-in,GUEST,CSH-01,GRO004,Grocery Staples,Salt,Raigam,Crystal Salt,1 kg,1,145,145,0,0,145,109.63,109.63,35.37,Cash,None
LIN-0000046,INV-2025-000018,1/1/2025,13:52:00,2025,1,January,Wednesday,No,STR-001,LankaMart - Colombo Suburban Store,Maharagama,In-store,Walk-in,GUEST,CSH-01,RIC001,Rice & Grains,Rice,Araliya,Nadu Rice,5 kg,1,1420,1420,0,0,1420,1245.53,1245.53,174.47,Cash,None
LIN-0000047,INV-2025-000018,1/1/2025,13:52:00,2025,1,January,Wednesday,No,STR-001,LankaMart - Colombo Suburban Store,Maharagama,In-store,Walk-in,GUEST,CSH-01,DAI009,Dairy & Eggs,Eggs,Local Farm,Brown Eggs,10 pack,1,690,690,0,0,690,607.24,607.24,82.76,Cash,None
LIN-0000048,INV-2025-000019,2/1/2025,14:03:00,2025,1,January,Thursday,No,STR-001,LankaMart - Colombo Suburban Store,Maharagama,In-store,Walk-in,GUEST,CSH-01,BEV001,Beverages,Tea,Dilmah,Premium Ceylon Tea,100 bags,1,990,990,0,0,990,778.58,778.58,211.42,Mobile Wallet,None
LIN-0000049,INV-2025-000019,2/1/2025,14:03:00,2025,1,January,Thursday,No,STR-001,LankaMart - Colombo Suburban Store,Maharagama,In-store,Walk-in,GUEST,CSH-01,PRO002,Fresh Produce,Vegetables,Local Produce,Potatoes,1 kg,1,375,375,0,0,375,302.22,302.22,72.78,Mobile Wallet,None
LIN-0000050,INV-2025-000019,2/1/2025,14:03:00,2025,1,January,Thursday,No,STR-001,LankaMart - Colombo Suburban Store,Maharagama,In-store,Walk-in,GUEST,CSH-01,DAI006,Dairy & Eggs,Yoghurt,Kotmale,Vanilla Yoghurt,80 g,3,100,300,0,0,300,68.02,204.06,95.94,Mobile Wallet,None
LIN-0000051,INV-2025-000019,2/1/2025,14:03:00,2025,1,January,Thursday,No,STR-001,LankaMart - Colombo Suburban Store,Maharagama,In-store,Walk-in,GUEST,CSH-01,CHI003,Chilled & Frozen,Processed Meat,Keells Krest,Chicken Sausages,500 g,1,965,965,0,0,965,762.81,762.81,202.19,Mobile Wallet,None
LIN-0000052,INV-2025-000020,2/1/2025,8:52:00,2025,1,January,Thursday,No,STR-001,LankaMart - Colombo Suburban Store,Maharagama,In-store,Walk-in,GUEST,CSH-01,DAI003,Dairy & Eggs,Fresh Milk,Highland,Fresh Milk,1 L,1,560,560,0,0,560,458.44,458.44,101.56,Debit/Credit Card,None
LIN-0000053,INV-2025-000020,2/1/2025,8:52:00,2025,1,January,Thursday,No,STR-001,LankaMart - Colombo Suburban Store,Maharagama,In-store,Walk-in,GUEST,CSH-01,BEV004,Beverages,Soft Drinks,Coca-Cola,Original Taste,1.5 L,1,415,415,0,0,415,309.01,309.01,105.99,Debit/Credit Card,None
LIN-0000054,INV-2025-000020,2/1/2025,8:52:00,2025,1,January,Thursday,No,STR-001,LankaMart - Colombo Suburban Store,Maharagama,In-store,Walk-in,GUEST,CSH-01,DAI006,Dairy & Eggs,Yoghurt,Kotmale,Vanilla Yoghurt,80 g,1,100,100,0,0,100,67.5,67.5,32.5,Debit/Credit Card,None
LIN-0000055,INV-2025-000020,2/1/2025,8:52:00,2025,1,January,Thursday,No,STR-001,LankaMart - Colombo Suburban Store,Maharagama,In-store,Walk-in,GUEST,CSH-01,DAI005,Dairy & Eggs,Yoghurt,Highland,Set Yoghurt,80 g,1,90,90,0,0,90,60.38,60.38,29.62,Debit/Credit Card,None
LIN-0000056,INV-2025-000021,2/1/2025,20:09:00,2025,1,January,Thursday,No,STR-001,LankaMart - Colombo Suburban Store,Maharagama,In-store,Walk-in,GUEST,CSH-04,PER005,Personal Care,Oral Care,Closeup,Toothpaste Red Hot,120 g,1,415,415,0,0,415,299.28,299.28,115.72,Cash,None
LIN-0000057,INV-2025-000021,2/1/2025,20:09:00,2025,1,January,Thursday,No,STR-001,LankaMart - Colombo Suburban Store,Maharagama,In-store,Walk-in,GUEST,CSH-04,PER007,Personal Care,Baby Care,Baby Cheramy,Baby Cologne,100 ml,1,515,515,0,0,515,371.5,371.5,143.5,Cash,None
LIN-0000058,INV-2025-000022,2/1/2025,11:47:00,2025,1,January,Thursday,No,STR-001,LankaMart - Colombo Suburban Store,Maharagama,In-store,Walk-in,GUEST,CSH-01,PER006,Personal Care,Sanitary Care,Fems,Sanitary Napkins,10 pack,1,480,480,0,0,480,352.64,352.64,127.36,Cash,None
LIN-0000059,INV-2025-000022,2/1/2025,11:47:00,2025,1,January,Thursday,No,STR-001,LankaMart - Colombo Suburban Store,Maharagama,In-store,Walk-in,GUEST,CSH-01,HOU003,Household,Dishwashing,Vim,Dishwash Bar,200 g,2,210,420,0,0,420,140.05,280.1,139.9,Cash,None
LIN-0000060,INV-2025-000022,2/1/2025,11:47:00,2025,1,January,Thursday,No,STR-001,LankaMart - Colombo Suburban Store,Maharagama,In-store,Walk-in,GUEST,CSH-01,DAI003,Dairy & Eggs,Fresh Milk,Highland,Fresh Milk,1 L,1,565,565,0,0,565,453.78,453.78,111.22,Cash,None
LIN-0000061,INV-2025-000022,2/1/2025,11:47:00,2025,1,January,Thursday,No,STR-001,LankaMart - Colombo Suburban Store,Maharagama,In-store,Walk-in,GUEST,CSH-01,RIC001,Rice & Grains,Rice,Araliya,Nadu Rice,5 kg,1,1425,1425,0,0,1425,1271.56,1271.56,153.44,Cash,None
LIN-0000062,INV-2025-000022,2/1/2025,11:47:00,2025,1,January,Thursday,No,STR-001,LankaMart - Colombo Suburban Store,Maharagama,In-store,Walk-in,GUEST,CSH-01,HOU006,Household,Paper Goods,Flora,Facial Tissues,2 ply / 160,1,390,390,0,0,390,272.32,272.32,117.68,Cash,None
LIN-0000063,INV-2025-000023,2/1/2025,11:53:00,2025,1,January,Thursday,No,STR-001,LankaMart - Colombo Suburban Store,Maharagama,Local Delivery,Loyalty Member,CUS-1986,ONLINE,PER004,Personal Care,Toothpaste,Signal,Strong Teeth Toothpaste,120 g,1,385,385,0,0,385,273.77,273.77,111.23,Debit/Credit Card,None
LIN-0000064,INV-2025-000024,2/1/2025,18:26:00,2025,1,January,Thursday,No,STR-001,LankaMart - Colombo Suburban Store,Maharagama,In-store,Walk-in,GUEST,CSH-02,GRO003,Grocery Staples,Sugar,Generic,White Sugar,1 kg,1,305,305,0,0,305,268.62,268.62,36.38,Debit/Credit Card,None
LIN-0000065,INV-2025-000024,2/1/2025,18:26:00,2025,1,January,Thursday,No,STR-001,LankaMart - Colombo Suburban Store,Maharagama,In-store,Walk-in,GUEST,CSH-02,DAI003,Dairy & Eggs,Fresh Milk,Highland,Fresh Milk,1 L,1,550,550,0,0,550,449.42,449.42,100.58,Debit/Credit Card,None
LIN-0000066,INV-2025-000025,2/1/2025,18:43:00,2025,1,January,Thursday,No,STR-001,LankaMart - Colombo Suburban Store,Maharagama,In-store,Loyalty Member,CUS-0662,CSH-05,CHI004,Chilled & Frozen,Ice Cream,Cargills Magic,Vanilla Ice Cream,1 L,1,960,960,0,0,960,724.83,724.83,235.17,Cash,None
LIN-0000067,INV-2025-000025,2/1/2025,18:43:00,2025,1,January,Thursday,No,STR-001,LankaMart - Colombo Suburban Store,Maharagama,In-store,Loyalty Member,CUS-0662,CSH-05,PRO006,Fresh Produce,Fruit,Imported,Apples - Red,4 pack,1,820,820,0,0,820,684.13,684.13,135.87,Cash,None
LIN-0000068,INV-2025-000025,2/1/2025,18:43:00,2025,1,January,Thursday,No,STR-001,LankaMart - Colombo Suburban Store,Maharagama,In-store,Loyalty Member,CUS-0662,CSH-05,SNK001,Snacks & Confectionery,Biscuits,Munchee,Tikiri Marie,360 g,1,435,435,0,0,435,319.53,319.53,115.47,Cash,None
LIN-0000069,INV-2025-000025,2/1/2025,18:43:00,2025,1,January,Thursday,No,STR-001,LankaMart - Colombo Suburban Store,Maharagama,In-store,Loyalty Member,CUS-0662,CSH-05,GRO009,Grocery Staples,Noodles,Prima KottuMee,Hot & Spicy Noodles,80 g,1,130,130,0,0,130,92.66,92.66,37.34,Cash,None
LIN-0000070,INV-2025-000026,2/1/2025,11:59:00,2025,1,January,Thursday,No,STR-001,LankaMart - Colombo Suburban Store,Maharagama,In-store,Walk-in,GUEST,CSH-01,PER001,Personal Care,Soap,Lifebuoy,Total Soap,100 g,1,190,190,0,0,190,134.53,134.53,55.47,Mobile Wallet,None
LIN-0000071,INV-2025-000026,2/1/2025,11:59:00,2025,1,January,Thursday,No,STR-001,LankaMart - Colombo Suburban Store,Maharagama,In-store,Walk-in,GUEST,CSH-01,SNK004,Snacks & Confectionery,Biscuits,Maliban,Lemon Puff,200 g,1,290,290,0,0,290,208.82,208.82,81.18,Mobile Wallet,None
LIN-0000072,INV-2025-000026,2/1/2025,11:59:00,2025,1,January,Thursday,No,STR-001,LankaMart - Colombo Suburban Store,Maharagama,In-store,Walk-in,GUEST,CSH-01,BEV004,Beverages,Soft Drinks,Coca-Cola,Original Taste,1.5 L,2,425,850,0,0,850,319.35,638.7,211.3,Mobile Wallet,None
LIN-0000073,INV-2025-000026,2/1/2025,11:59:00,2025,1,January,Thursday,No,STR-001,LankaMart - Colombo Suburban Store,Maharagama,In-store,Walk-in,GUEST,CSH-01,PER007,Personal Care,Baby Care,Baby Cheramy,Baby Cologne,100 ml,1,530,530,0,0,530,381.79,381.79,148.21,Mobile Wallet,None
LIN-0000074,INV-2025-000027,2/1/2025,14:41:00,2025,1,January,Thursday,No,STR-001,LankaMart - Colombo Suburban Store,Maharagama,In-store,Walk-in,GUEST,CSH-02,HOU001,Household,Laundry,Sunlight,Laundry Soap,120 g,1,150,150,0,0,150,105.35,105.35,44.65,Cash,None
LIN-0000075,INV-2025-000027,2/1/2025,14:41:00,2025,1,January,Thursday,No,STR-001,LankaMart - Colombo Suburban Store,Maharagama,In-store,Walk-in,GUEST,CSH-02,HOU004,Household,Cleaning,Dettol,Floor Cleaner,1 L,1,980,980,0,0,980,761.29,761.29,218.71,Cash,None
LIN-0000076,INV-2025-000027,2/1/2025,14:41:00,2025,1,January,Thursday,No,STR-001,LankaMart - Colombo Suburban Store,Maharagama,In-store,Walk-in,GUEST,CSH-02,DAI003,Dairy & Eggs,Fresh Milk,Highland,Fresh Milk,1 L,1,555,555,0,0,555,444.93,444.93,110.07,Cash,None
LIN-0000077,INV-2025-000028,2/1/2025,11:27:00,2025,1,January,Thursday,No,STR-001,LankaMart - Colombo Suburban Store,Maharagama,In-store,Walk-in,GUEST,CSH-04,GRO001,Grocery Staples,Flour,Prima,Wheat Flour,1 kg,1,280,280,0,0,280,232.73,232.73,47.27,Gift Voucher,None
LIN-0000078,INV-2025-000028,2/1/2025,11:27:00,2025,1,January,Thursday,No,STR-001,LankaMart - Colombo Suburban Store,Maharagama,In-store,Walk-in,GUEST,CSH-04,BAK002,Bakery,Bread,Local Bakery,Roast Bread,400 g,1,185,185,0,0,185,120.27,120.27,64.73,Gift Voucher,None
LIN-0000079,INV-2025-000029,2/1/2025,15:00:00,2025,1,January,Thursday,No,STR-001,LankaMart - Colombo Suburban Store,Maharagama,In-store,Loyalty Member,CUS-0576,CSH-04,PER004,Personal Care,Toothpaste,Signal,Strong Teeth Toothpaste,120 g,1,395,395,0.05,19.75,375.25,285.7,285.7,89.55,Cash,Loyalty Discount
LIN-0000080,INV-2025-000030,2/1/2025,9:30:00,2025,1,January,Thursday,No,STR-001,LankaMart - Colombo Suburban Store,Maharagama,WhatsApp Order,Walk-in,GUEST,ONLINE,BEV008,Beverages,Bottled Water,Aquafresh,Drinking Water,1.5 L,1,150,150,0,0,150,91.11,91.11,58.89,Cash,None
LIN-0000081,INV-2025-000031,2/1/2025,19:33:00,2025,1,January,Thursday,No,STR-001,LankaMart - Colombo Suburban Store,Maharagama,In-store,Walk-in,GUEST,CSH-05,PER002,Personal Care,Soap,Pears,Pure & Gentle Soap,100 g,1,265,265,0,0,265,184.39,184.39,80.61,Debit/Credit Card,None
